Location	Latitude	Longitude	Description
Ruma National Park	-0.5873984	34.2997992	Ruma National Park
Ruma National Park	-0.63819953	34.30973947	Ruma National Park
Ruma National Park	-0.58739849	34.2997992	Ruma National Park
Ruma National Park	-0.63819953	34.30973947	Ruma National Park
Koibos	N00.18337	E036.11017	Lake Bogoria (200m radius)
Koibos	N00.19128	E036.12261	Lake Bogoria (200m radius)
Koibos	N00.18397	E036.11373	Lake Bogoria (200m radius)
Koibos	N00.18579	E036.10930	Lake Bogoria (200m radius)
Emsos	N00.16833	E036.10013	Lake Bogoria (200m radius)
Emsos	N00.16445	E036.10482	Lake Bogoria (200m radius)
Emsos	N00.16579	E036.10565	Lake Bogoria (200m radius)
Emsos	N00.16669	E036.10581	Lake Bogoria (200m radius)
Meru National Park	N00.03404	E038.05399	PATTEC (K) Project Laboratory
Meru National Park	N00.07214	E038.04754	PATTEC (K) Project Laboratory
Meru National Park	N00.08008	E038.08272	PATTEC (K) Project Laboratory
Meru National Park	N00.11329	E038.12093	PATTEC (K) Project Laboratory
Ura Gate	N00.02437	E038.066130	PATTEC (K) Project Laboratory
Kiria	N00.30837	E038.19257	PATTEC (K) Project Laboratory
Meru National Park	N00.11329	E038.12093	PATTEC (K) Project Laboratory
Mwea National Park	S0.826	E37.623	PATTEC (K) Project Laboratory
MWEA	S00.79986	E037.59673	MWEA NATIONAL PARK
MWEA	S00.79286	E037.60525	MWEA NATIONAL PARK
MWEA	S00.78620	E037.60957	MWEA NATIONAL PARK
MWEA	S00.88719	E037.63313	MWEA NATIONAL PARK
MWEA	S00.81737	E037.59180	MWEA NATIONAL PARK
KATOTOI	0.72280169	34.3101418	Western Region Kenya
KATOTOI	0.72326303	34.30398309	Western Region Kenya
KATOTOI	0.72326303	34.31332827	Western Region Kenya
KATOTOI	0.72767258	34.31389153	Western Region Kenya
KATOTOI	0.72861135	34.31371987	Western Region Kenya
KATOTOI	0.7306060691	34.31412756	Western Region Kenya

