Location,Latitude,Longitude
ABO,2.466775,32.56499
ACA,2.27008,32.52053
AG,2.413985,32.59915
AIN,3.304225,31.11941
AKA,2.37258,32.67495
ALE,2.49179,32.69384
ALI,2.84023,32.96429
AMI,1.92483,33.156138
APU,2.07949,32.676195
ASW,2.95792,32.58149
ATM,3.03057,32.76735
BB,1.068104,33.777342
BD,0.260933333333,33.9294633333
BK,1.00972703704,33.8600043519
BLA,3.4788533333,31.5936977778
BN,0.940966,33.973218
BOL,3.2934,32.78246
BU,0.248866666667,33.9709266667
BV,0.47416,33.38236
CE,3.60721,31.65956
CHU,2.606845,32.93758
DUK,3.2668,31.134205
GAN,3.252455,31.121625
GOR,3.26606,32.208055
JIA,3.26335,31.13012
JN,1.33219333333,32.7381844444
KA,1.04610375,33.77118125
KAG,1.8029557143,33.1035185714
KB,0.97719,30.5465
KIL,2.746835,32.951615
KK,0.36465,30.27996
KL,0.1667,32.7667
KP,1.007965,33.855469
KT,0.08208,32.48505
KTC,3.1635,32.52233
KW,1.017428,33.8740411111
KY,1.44966875,33.657465
LAG,3.440915,32.853345
LAK,3.63581,32.617755
LEA,3.59254,31.60702
LIB,3.28078,32.854265
MK,1.3582375,33.87300125
MOP,3.63794,31.71825
MP,0.30352,30.53209
MWA,2.361225,32.71493
NA,0.763195555556,33.6501872222
NB,0.86313,33.72929
NGO,3.66861,32.59131
OCA,2.42714,32.62831
OCL,2.46757,32.56832
OCU,1.8477275,33.155
OD,2.44749,32.66024
OGU,2.49334,32.71284
OK,0.51955989899,34.118511
OKS,3.260175,32.22439
OLE,2.35537,32.71575
OLO,3.4839,32.011625
OLW,3.1499,31.68066
OMI,3.0193,32.75548
OPU,2.41397,32.59967
ORB,3.69251,31.7801
ORI,3.64563,31.78942
ORV,3.30587,31.11685
OSG,3.200835,31.72268
OYA,3.486135,32.010335
PAG,3.3778090909,31.9941445455
PAW,3.61199,32.68167
SI,0.260303333333,34.0175566667
TEO,2.514495,31.58744
TR,0.61208,34.185535
TUM,3.24197,32.76076
UWA,2.24844,32.248855
WEN,3.291235,31.119645
